,Community,Community Latitude,Community Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
22,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Luzzat,42.015952218015535,-87.6687736172993,Indian Restaurant
23,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,DENDEN,42.00265582187154,-87.67219161562285,African Restaurant
24,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Leone Beach,42.01312436419107,-87.66361089552603,Park
25,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Paleteria Las Delicias de Michoacana,42.002960205078125,-87.6724624633789,Ice Cream Shop
26,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Cermak Fresh Market,42.00281222507039,-87.67938138623767,Market
27,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Romanian Kosher Sausage Co.,42.0127647504826,-87.67469195207636,Deli / Bodega
28,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,bopNgrill,42.002807619260444,-87.6611135431543,Burger Joint
29,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Pottawattomie Park,42.01511161129157,-87.67692812505103,Park
30,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Ward Eight Bar,42.01950853910772,-87.67972225573416,Cocktail Bar
31,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Blaze Pizza,42.001625,-87.661102,Pizza Place
32,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Caribbean American Bakery,42.01937116969753,-87.66970522916527,Bakery
33,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Twisted Tapas,42.00556414029608,-87.6603629918428,Tapas Restaurant
34,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Howard Beach Park,42.0189195424277,-87.6641446352005,Playground
35,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Leather Archives & Museum,41.99860778320516,-87.66790247778829,History Museum
36,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Rogers Park Fine Wines & Spirits,42.0044358904893,-87.67279463527039,Liquor Store
37,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,The Armadillo's Pillow,42.00510099974518,-87.6608328484082,Bookstore
38,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Albion Beach,42.00214862929895,-87.66315740553134,Beach
39,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,XO Marshmallow,42.00891390318991,-87.6620065912115,Café
40,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Pratt Boulevard Beach and Park,42.005719455474356,-87.65853290679445,Beach
41,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Peckish Pig,42.01952876905726,-87.6795662630092,Brewery
42,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Ethiopian Diamond,42.01880069869671,-87.67593007752856,African Restaurant
43,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Sauce and Bread Kitchen,41.99758174929393,-87.67057227706171,Café
44,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Rice Thai Cafe,42.004813687964564,-87.66088790238128,Thai Restaurant
45,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Noon Hour Grill,42.00754556105003,-87.66621873343492,Diner
46,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Charmers Cafe,42.01616386317998,-87.66824960725634,Café
47,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Ellipsis Coffeehouse,41.99812442311702,-87.66291547313885,Coffee Shop
48,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Pete's Grill,42.019096132925974,-87.67354413427957,Breakfast Spot
49,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,North Shore Beach,42.00329221961532,-87.65761949422372,Beach
50,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Raising Cane's Chicken Fingers,42.002151003133264,-87.66098038072974,Fried Chicken Joint
51,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Robert Black Golf Course,42.00475358668928,-87.68190348654149,Golf Course
52,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Nori,41.99807615352328,-87.66207535196807,Sushi Restaurant
53,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Lickity Split,42.0087153003588,-87.69033944581405,Dessert Shop
54,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Warren Park,42.00241353341978,-87.68796889857809,Park
55,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Devon Market,41.99818975012324,-87.66717662276965,Grocery Store
56,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,GameStop,42.018936883470076,-87.67420257462594,Video Game Store
57,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,The Fish Keg,42.01941894237761,-87.68598368599712,Seafood Restaurant
58,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Ghareeb Nawaz,41.99801941495526,-87.68156854007772,Indian Restaurant
59,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,New 400 Theaters,42.004663949716374,-87.66129461387361,Movie Theater
60,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Candlelite Chicago Restaurant,42.017512193911124,-87.6903533555247,Pizza Place
61,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Rogers Bark,42.015889572724475,-87.66815704223727,Pet Store
62,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Hartigan Beach Park,42.00465941332116,-87.65755668891043,Beach
63,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Buffalo Joe's,42.01935506788545,-87.67736809595516,Wings Joint
64,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Uncommon Ground,41.99811984809216,-87.6655607530921,New American Restaurant
65,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Cozy Corner,41.997935613719164,-87.67028829833373,Diner
66,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Jarvis Avenue Beach,42.016021868880415,-87.66310038885716,Beach
67,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,The Norse Bar,41.99747441721036,-87.67066206351356,Bar
68,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Cuetzala Gro,42.015571067457316,-87.67524206905438,Mexican Restaurant
69,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Pockets,42.01213753711083,-87.68310364591802,Fast Food Restaurant
70,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,V-Tone Fitness,42.01611336857059,-87.67022920230922,Gym
71,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,High Ridge YMCA,42.01285834210986,-87.69133784861765,Gym
72,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,La Unica Food Market,41.998109333870154,-87.66824732915273,Food & Drink Shop
73,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Siam Pasta,42.01644184159978,-87.6903140167532,Thai Restaurant
74,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Potbelly Sandwich Shop,42.000031,-87.660905,Sandwich Place
75,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Subway,42.00157416166906,-87.67166412613965,Sandwich Place
76,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Starbucks,41.99789652,-87.66086163,Coffee Shop
77,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Alexander's,41.994428059769824,-87.67024278662248,Diner
78,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Touche,41.99839138111189,-87.6708590214264,Gay Bar
79,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Chase Bank,41.998812,-87.660245,Bank
80,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Target,41.999244,-87.661,Department Store
81,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Edgewater Antique Mall,41.99688860399943,-87.66063256736093,Antique Shop
82,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Indian Boundary Park & Cultural Center,42.00872817573235,-87.69254922866821,Park
83,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,7-Eleven,41.9983628276293,-87.659713202986,Convenience Store
84,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Lost Eras,42.01936729169868,-87.66898739907076,Thrift / Vintage Store
85,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Ann Sather,41.9944158,-87.6600771,Scandinavian Restaurant
86,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Sushi Thai,41.99549555833147,-87.66054914033134,Asian Restaurant
87,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Firehouse Chicago,41.996224837186276,-87.66983306863352,Arts & Entertainment
88,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Clarke's Rogers Park,41.99911814189701,-87.66065455339991,Diner
89,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Know No Limits Fitness and Wellness,41.99343065635601,-87.67008459587363,Gym
90,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Rogers Park Beach,42.02106174263614,-87.66532056961587,Beach
91,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Mullen's Bar & Grill,42.01425551759714,-87.69001677026797,Sports Bar
92,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,CVS pharmacy,42.01989650790276,-87.69002458298296,Pharmacy
93,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,The UPS Store,42.01900323480665,-87.67401248216623,Shipping Store
94,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Raven Theatre Complex,41.994322549093766,-87.66993099228452,Theater
95,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Felice's Roman Style Pizza,41.99966084144301,-87.66062444808475,Pizza Place
96,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Starbucks,42.01932329491843,-87.68993045600962,Coffee Shop
97,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Chase Bank,42.0095284,-87.6898277,Bank
98,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Vedgewater Community Garden-Peterson Garden Project,41.99644582382873,-87.66108101644336,Garden
99,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Kabul House Express,41.99778159171753,-87.68742715787783,Afghan Restaurant
100,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Warren Park,42.00241353341978,-87.68796889857809,Park
101,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,World Fresh Market,41.9977989654229,-87.69142134817655,Fruit & Vegetable Store
102,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Lickity Split,42.0087153003588,-87.69033944581405,Dessert Shop
103,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Karahi Corner,41.99780342481332,-87.69705587552049,Pakistani Restaurant
104,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Sabri Nihari,41.99771684070019,-87.69257002130401,Pakistani Restaurant
105,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Indian Boundary Park & Cultural Center,42.00872817573235,-87.69254922866821,Park
106,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Tiffin Indian Kitchen,41.99775681812413,-87.69374205801385,Indian Restaurant
107,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Tahoora,41.99771925355822,-87.68948767343142,Indian Restaurant
108,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Gogi,41.995112575246466,-87.6996970537179,Korean Restaurant
109,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Dipti's,42.01220511208669,-87.6980414641845,Salon / Barbershop
110,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,High Ridge YMCA,42.01285834210986,-87.69133784861765,Gym
111,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Ghareeb Nawaz,41.99801941495526,-87.68156854007772,Indian Restaurant
112,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Anmol Barbecue Restaurant,41.99762059981407,-87.70194197696877,Afghan Restaurant
113,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Taza Bakery,41.99768237593785,-87.7070025561454,Bakery
114,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Cermak Fresh Market,42.00281222507039,-87.67938138623767,Market
115,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Khan B.B.Q.,41.99767732225204,-87.6901532165875,Indian Restaurant
116,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Spinzer Fast Food,41.99769794180605,-87.68872694937781,Pakistani Restaurant
117,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Patel Brothers,41.99776858905524,-87.69528187776137,Grocery Store
118,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Candlelite Chicago Restaurant,42.017512193911124,-87.6903533555247,Pizza Place
119,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Libanais,41.99746346111234,-87.71199938816761,Middle Eastern Restaurant
120,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Clifton Grill,41.99812,-87.688719,Indian Restaurant
121,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Ted's Fruit Market,41.997633378144485,-87.70138379923662,Grocery Store
122,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Siam Pasta,42.01644184159978,-87.6903140167532,Thai Restaurant
123,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Udupi Palace,41.9976164281161,-87.6940636917366,Indian Restaurant
124,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Yeowoosai,41.99510899859261,-87.69970946773383,Korean Restaurant
125,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,JK Kabob House,41.998023759239096,-87.69487628814342,Indian Restaurant
126,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Pho 5 Lua,41.995825085054285,-87.71260177133978,Vietnamese Restaurant
127,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Pak Sweets,41.99782016597843,-87.68858378710125,Indian Restaurant
128,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Robert Black Golf Course,42.00475358668928,-87.68190348654149,Golf Course
129,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Kabul House Express,41.99778159171753,-87.68742715787783,Afghan Restaurant
130,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Fresh Farms International Market,41.997690597697755,-87.69587378945518,Grocery Store
131,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Italian Express,41.99773503885772,-87.6878394633657,American Restaurant
132,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Mariano's Fresh Market,42.0126316,-87.7136894,Grocery Store
133,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Wolfy's,41.990741405421886,-87.6985448773841,Hot Dog Joint
134,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Usmania Fine Dining,41.99780027387237,-87.68692180367192,Indian Restaurant
135,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Sabor A Cafe,41.99045925819147,-87.69083771387159,Latin American Restaurant
136,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Victoria's Secret,42.01006519074548,-87.71385055688208,Lingerie Store
137,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Bundoo Khan,41.99765456041194,-87.69374481181599,Pakistani Restaurant
138,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Sukhadia's,41.9976516592843,-87.69471705326654,Indian Restaurant
139,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Mind Crusher Tattoo,42.00380108134929,-87.67252493440054,Tattoo Parlor
140,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Chase Bank,42.0095284,-87.6898277,Bank
141,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,ALDI,41.9946968,-87.6996675,Grocery Store
142,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Smack Dab Bakery,42.00449527736751,-87.6730583613599,Bakery
143,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Cary's Lounge,41.997728057910365,-87.68698780230523,Bar
144,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Mysore Woodlands,41.997712703515234,-87.69431769229608,Indian Restaurant
145,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Hyderabad House,41.99764642544865,-87.68590783855073,Indian Restaurant
146,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Uru-Swati,41.99754575876659,-87.69588976009699,Indian Restaurant
147,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Acorn Tire Chicago,41.994449,-87.714606,Automotive Shop
148,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,The Fish Keg,42.01941894237761,-87.68598368599712,Seafood Restaurant
149,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Kamdar Plaza,41.997667974747834,-87.6964921176247,Grocery Store
150,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,El Famous Burrito,42.01042128720865,-87.67420436237607,Mexican Restaurant
151,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Bark Place,42.01008029950695,-87.67522292839932,Pet Store
152,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Starbucks,42.01292518221081,-87.7121967564124,Coffee Shop
153,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Mullen's Bar & Grill,42.01425551759714,-87.69001677026797,Sports Bar
154,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,KFC,42.00428467400814,-87.69038580183508,Fried Chicken Joint
155,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Dairy Star,41.99755,-87.71651,Ice Cream Shop
156,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Naan on Devon,41.997772188974544,-87.6866265915362,Indian Restaurant
157,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Five Guys,42.0117021109632,-87.71346708872329,Burger Joint
158,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Petco,41.99488004918607,-87.6900769987302,Pet Store
159,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,DENDEN,42.00265582187154,-87.67219161562285,African Restaurant
160,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Villa Palermo Pizza,41.99780030435819,-87.6847079804308,Pizza Place
161,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Xsport Fitness,42.0126797,-87.7157304,Gym
162,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Mike's Place,42.00856682687525,-87.69014542896593,Diner
163,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Turkish Cuisine,41.9906005021926,-87.69399241799607,Turkish Restaurant
164,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Paleteria Las Delicias de Michoacana,42.002960205078125,-87.6724624633789,Ice Cream Shop
165,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,7-Eleven,42.0117295573875,-87.6992788910865,Convenience Store
166,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Pockets,42.01213753711083,-87.68310364591802,Fast Food Restaurant
167,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,90 Miles Cuban Cafe,42.010163224507174,-87.71352692353196,Caribbean Restaurant
168,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Hamachi Sushi Bar,42.01930487091932,-87.69981846248463,Sushi Restaurant
169,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Pride Sushi & Thai,41.990476660670865,-87.697387269816,Sushi Restaurant
170,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Olive Garden,42.011126079070344,-87.7120601815048,Italian Restaurant
171,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Gullivers Pizza and Pub Chicago,42.01923965176673,-87.69826989162864,Pizza Place
172,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Hema's Kitchen,41.99768946149866,-87.69147872332468,Indian Restaurant
173,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Bath & Body Works,42.00970913911718,-87.71355820972886,Cosmetics Shop
174,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Chase Bank,41.993835,-87.689383,Bank
175,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Woo Chon Korean BBQ Restaurant,41.98625358688357,-87.69949229807679,Korean Restaurant
176,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Planet Fitness,42.00602816850135,-87.71284506759321,Gym / Fitness Center
177,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Chipotle Mexican Grill,42.01066901412909,-87.71212630031448,Mexican Restaurant
178,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,El Carrito,41.99093497101629,-87.7076524538524,Mexican Restaurant
179,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Eastern Style Pizza,42.01201357297826,-87.7025546408702,Pizza Place
180,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Dunkin',41.99768763379574,-87.70844015885456,Donut Shop
181,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Starbucks,41.99290110930252,-87.71101483887858,Coffee Shop
182,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,VPT,41.9867040752225,-87.68972125568824,Burger Joint
183,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Old Navy,42.009992794844315,-87.71384331194372,Clothing Store
184,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,CVS pharmacy,42.01989650790276,-87.69002458298296,Pharmacy
185,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Bangkok Wok,42.01208630896984,-87.70855900714083,Thai Restaurant
186,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Vitamin Shoppe,42.01060858540591,-87.71199398105486,Supplement Shop
187,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Bacolod Chicken Haus,41.99624857390285,-87.71700074052832,Filipino Restaurant
188,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Target,41.99078007613988,-87.68302068813584,Big Box Store
189,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Fondue Stube,41.990439945805555,-87.69761918425598,Fondue Restaurant
190,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Rogers Park Fine Wines & Spirits,42.0044358904893,-87.67279463527039,Liquor Store
191,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Starbucks,41.99258698842526,-87.70303265303815,Coffee Shop
192,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Starbucks,42.01932329491843,-87.68993045600962,Coffee Shop
193,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Popeyes Louisiana Kitchen,41.99640478629771,-87.71670514599985,Fried Chicken Joint
194,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Black Sheep,41.9904346915802,-87.69353527607157,Sports Bar
195,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,West Ridge Nature Preserve,41.986802356406024,-87.68953918254155,Nature Preserve
196,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Saigon Bistro,41.99515965682581,-87.69971317611206,Vietnamese Restaurant
197,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,CVS pharmacy,41.99742820583902,-87.70050250208101,Pharmacy
198,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,El Pueblito #2 Mexican Grill,42.019630600531954,-87.69831059343123,Mexican Restaurant
199,"West Ridge, Chicago, IL",42.003548200000004,-87.69624259999999,Walgreens,41.9900811,-87.7050226,Pharmacy
200,"Uptown, Chicago, IL",41.9666299,-87.6555458,Everybody's Coffee,41.96551885216174,-87.65394427213718,Coffee Shop
201,"Uptown, Chicago, IL",41.9666299,-87.6555458,First Ascent Uptown,41.9678891287457,-87.65919138605011,Climbing Gym
202,"Uptown, Chicago, IL",41.9666299,-87.6555458,Nhú Lan Bakery & Sandwiches,41.96944375000166,-87.65495376959896,Vietnamese Restaurant
203,"Uptown, Chicago, IL",41.9666299,-87.6555458,CorePower Yoga,41.9623749,-87.6557639,Yoga Studio
204,"Uptown, Chicago, IL",41.9666299,-87.6555458,Agami Contemporary Sushi,41.96751931678962,-87.65883111479452,Sushi Restaurant
205,"Uptown, Chicago, IL",41.9666299,-87.6555458,Green Mill Cocktail Lounge,41.96909292878826,-87.659865028545,Jazz Club
206,"Uptown, Chicago, IL",41.9666299,-87.6555458,Tattoo Factory,41.962849568323506,-87.65565562582444,Tattoo Parlor
